date_3m_start,bnf_code,roll_3m_quantity
2023-06-01,0105010C0AAAAAA,54171.0
2023-06-01,0407020Q0AACNCN,35727119.0
2023-06-01,0702020F0AAAKAK,21977.0
2023-06-01,0906027G0AAABAB,3964042.0
2023-06-01,0408010H0AAACAC,3698288.0
2023-06-01,0702020F0AAAFAF,34449.0
2023-06-01,0202030S0AAATAT,5578795.0
2023-06-01,0404000S0AAACAC,29916.0
2023-06-01,0212000Y0AAALAL,30230.0
2023-06-01,0601021X0AAADAD,19949.0
2023-06-01,0704020ABAAAAAA,4949648.0
2023-06-01,0402010ABAAADAD,1154052.0
2023-06-01,0304010E0AAAAAA,9005074.0
2023-06-01,0409010H0AAADAD,8142.0
2023-06-01,0409030R0AAAAAA,85923.0
2023-06-01,0403010V0AAAEAE,1197286.0
2023-06-01,0205051R0AAANAN,1838520.0
2023-06-01,0501011P0AAAJAJ,9488069.0
2023-06-01,0403010X0AAABAB,1177170.0
2023-06-01,0408010W0AAADAD,997754.0
2023-06-01,0202030S0AAAVAV,711552.0
2023-06-01,0502010C0AAAAAA,284944.0
2023-06-01,0103050T0AAABAB,614691.0
2023-06-01,0205052A0AAABAB,53903.0
2023-06-01,0201010F0AAAFAF,548728.0
2023-06-01,0704010V0AAAAAA,315008.0
2023-06-01,1201010G0AAACAC,31730.0
2023-06-01,1001010AJAAABAB,399112.0
2023-06-01,0901020N0AAABAB,364478.0
2023-06-01,040201060AAAAAA,1304644.0
2023-06-01,1301010D0AAAAAA,1998300.0
2023-06-01,0204000K0AAACAC,220836.0
2023-06-01,0212000P0AAAEAE,595732.0
2023-06-01,0202030X0AAAAAA,2774806.0
2023-06-01,0304010G0AAABAB,3675515.0
2023-06-01,0801030L0AAAAAA,182588.0
2023-06-01,0402010J0AAACAC,45234.0
2023-06-01,1501041T0AAAAAA,190886.0
2023-06-01,0702010G0AAAGAG,1411032.0
2023-06-01,0404000S0AAAEAE,57441.0
2023-06-01,0503021C0AAACAC,2665866.0
2023-06-01,0403040Y0AAAAAA,4286721.0
2023-06-01,0501021L0AAABAB,665657.0
2023-06-01,0103050L0AAAHAH,2230288.0
2023-06-01,0403010X0AAADAD,794326.0
2023-06-01,0407020K0AAABAB,2602.0
2023-06-01,0406000T0AAAKAK,562168.0
2023-06-01,040702040AAAAAA,76010956.0
2023-06-01,040801020AAABAB,9601.0
2023-06-01,0501130R0AAAAAA,455404.0
2023-06-01,0501012G0AAAGAG,1699000.0
2023-06-01,0205052I0AAABAB,1915742.0
2023-06-01,0304010G0AAAPAP,2951856.0
2023-06-01,0211000P0AAACAC,3027060.0
2023-06-01,0401010Z0AAAAAA,3872806.0
2023-06-01,0403040X0AAAGAG,51678.0
2023-06-01,0402010S0AAADAD,814185.0
2023-06-01,0409010H0AAAHAH,657438.0
2023-06-01,0212000B0AAAAAA,20895154.0
2023-06-01,0202020L0AABBBB,10591092.0
2023-06-01,0205052N0AAAHAH,922245.0
2023-06-01,0501080W0AAAEAE,1929136.0
2023-06-01,0704010M0AAAAAA,125904.0
2023-06-01,1106000X0AAACAC,26110.0
2023-06-01,0103050T0AAAAAA,259790.0
2023-06-01,0601023B0AAAAAA,416598.0
2023-06-01,0205051J0AAABAB,3647.0
2023-06-01,0901011P0AAACAC,14177575.0
2023-06-01,0501021L0AAAHAH,108164.0
2023-06-01,0205040D0AAAQAQ,543760.0
2023-06-01,0206030Y0AAABAB,425250.0
2023-06-01,0212000X0AAABAB,2255664.0
2023-06-01,1106000ACAAAAAA,548840.0
2023-06-01,0803041S0AAABAB,1762827.0
2023-06-01,0601021A0AAAAAA,426928.0
2023-06-01,1305020D0AAAGAG,730740.0
2023-06-01,0803042A0AAABAB,206792.0
2023-06-01,0501080W0AAADAD,916131.0
2023-06-01,1001010N0AAADAD,842763.0
2023-06-01,0411000D0AAAEAE,67372.0
2023-06-01,1501030G0AAAAAA,59954.0
2023-06-01,0408010ADAAAAAA,529635.0
2023-06-01,0304010J0AAABAB,348904.0
2023-06-01,0212000P0AAABAB,466654.0
2023-06-01,0408010G0AAAJAJ,4581692.0
2023-06-01,0205052X0AAAAAA,78569.0
2023-06-01,0403030E0AAACAC,1418760.0
2023-06-01,0402010A0AAAGAG,317675.0
2023-06-01,0906040G0AABHBH,697826.0
2023-06-01,0204000K0AAABAB,955440.0
2023-06-01,0212000AAAAADAD,5579100.0
2023-06-01,0205052I0AAACAC,1926392.0
2023-06-01,0411000D0AAAJAJ,62805.0
2023-06-01,0105010E0AAAPAP,112440.0
2023-06-01,040702040AAAUAU,237841.0
2023-06-01,0205052B0AAAAAA,328044.0
2023-06-01,0401020T0AAACAC,60393.0
2023-06-01,0206020T0AAAVAV,28010.0
2023-06-01,1002020C0AAABAB,10431074.0
2023-06-01,0103050R0AAABAB,3142523.0
2023-06-01,0304010ABAAAAAA,622166.0
2023-06-01,0601023B0AAACAC,446769.0
2023-06-01,0408010D0AAACAC,165108.0
2023-06-01,0403010B0AAAIAI,6056191.0
2023-06-01,0606020R0AAADAD,305696.0
2023-06-01,040801020AAAAAA,4544.0
